features,rf,lr_l1,lr_l2
without_delete,0.8407564724919094,0.791383495145631,0.5011933656957929
without_education,0.8451860841423948,0.7881067961165048,0.5027508090614887
without_education_num,0.8449838187702267,0.7534587378640776,0.5004045307443366
without_marital_status,0.84043284789644,0.785740291262136,0.502123786407767
without_occupation,0.8387540453074434,0.7910396440129451,0.501072006472492
without_relationship,0.8411812297734628,0.7907766990291263,0.5005663430420711
without_race,0.8407969255663431,0.7880258899676376,0.5012338187702267
without_sex,0.8400485436893202,0.7845671521035599,0.5054813915857604
without_hours,0.836913430420712,0.781007281553398,0.5
